"","x"
"1272","Nfxl1"
"1273","Tec"
"1274","Sgcb"
"1275","Dancr"
"1276","Kdr"
"1277","Rufy3"
"1278","Dck"
"1279","Ankrd17"
"1280","Cxcl3"
"1281","Cxcl1"
"1282","Cxcl2"
"1283","G3bp2"
"1284","Naaa"
"1285","Cxcl9"
"1286","Cxcl10"
"1287","Cxcl11"
"1288","Ccng2"
"1289","Lin54"
"1290","Coq2"
"1291","Hpse"
"1292","Gpat3"
"1293","Cds1"
"1294","Aff1"
"1295","Zfp951"
"1296","Gbp8"
"1297","Gbp9"
"1298","Gbp4"
"1299","Gbp6"
"1300","Gbp11"
"1301","Lrrc8c"
"1302","Lrrc8d"
"1303","Brdt"
"1304","Dipk1a"
"1305","Golga3"
"1306","Ankle2"
"1307","Fbrsl1"
"1308","Noc4l"
"1309","Ep400"
"1310","Pus1"
"1311","Grk3"
"1312","Tmem119"
"1313","Oasl2"
"1314","Oasl1"
"1315","Taok3"
"1316","Rita1"
"1317","Oas2"
"1318","Oas3"
"1319","Oas1c"
"1320","Oas1b"
"1321","Oas1g"
"1322","Oas1a"
"1323","Trafd1"
"1324","Naa25"
"1325","Hvcn1"
"1326","Rnf34"
"1327","Tmem120b"
"1328","Rhof"
"1329","Hcar2"
"1330","Denr"
"1331","Vps37b"
"1332","Kmt5a"
"1333","Rilpl2"
"1334","Rilpl1"
"1335","Ncor2"
"1336","Stx2"
"1337","Tpst1"
"1338","Kctd7"
"1339","Tbl2"
"1340","Hip1"
"1341","Dtx2"
"1342","Sh2b2"
"1343","Plod3"
"1344","Slc12a9"
"1345","Gigyf1"
"1346","Gm20605"
"1347","Agfg2"
"1348","Gm15753"
"1349","Mepce"
"1350","Pilra"
